"ID категории",Категория,ID,Название,"Название в чеке",Артикул,Штрихкод,"Цена продажи, ₽","Себестоимость, ₽","Единицы измерения для продажи","Единицы измерения для списания","Сколько единиц списания в единице продажи","Масса Нетто, гр.","Масса Брутто, гр.","Критический остаток","Желаемый остаток",Комментарий
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356417,"Сертификат 500руб","Сертификат 500руб",,,500,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356420,"Сертификат 1000руб","Сертификат 1000руб",,,1000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356424,"Сертификат 3000руб","Сертификат 3000руб",,,3000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356426,"Сертификат 5000руб","Сертификат 5000руб",,,5000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356428,"Сертификат 10000руб","Сертификат 10000руб",,,10000,0,шт.,шт.,1,0,0,0,0,
1511296,"Сертификаты Сеть Студия косметологии и лазерной эпиляции",37356521,"Сертификат 50000руб","Сертификат 50000руб",,,50000,0,шт.,шт.,1,0,0,0,0,
1525986,Sesderma,37364343,"Домашний уход","Домашний уход",,,100,100,шт.,шт.,1,0,0,0,0,
1368146,"Абонементы Сеть Студия косметологии и лазерной эпиляции",37571238,"Пакет Вип 5 процедур","Пакет Вип 5 процедур",,,25200,0,шт.,шт.,1,0,0,0,0,
1368146,"Абонементы Сеть Студия косметологии и лазерной эпиляции",37571381,"Пакет Тотал 5 процедур","Пакет Тотал 5 процедур",,,36000,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772051,"Маска тканевая увлажняющая Elami","Маска тканевая увлажняющая Elami",,,350,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772081,"Бальзам для губ Elami","Бальзам для губ  Elami",,,350,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772303,"Пенка для умывания Elami с гелауроновой кислотой, 160мл","Пенка для умывания Elami с гелауроновой кислотой, 160мл",,,1500,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772378,"Шиммер крем для тела Elami сияние и увлажнение, 100мл","Шиммер крем для тела Elami сияние и увлажнение, 100мл",,,1500,0,шт.,шт.,1,0,0,0,0,
1543172,Elami,37772750,"Защитный крем для лица Elami SPF 50, 50мл","Защитный крем для лица Elami SPF 50, 50мл",,,2500,0,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38195334,"CT05 Ceramide repair cream Восстанавливающий крем с церамидами, 50мл","CT05 Ceramide repair cream Восстанавливающий крем с церамидами, 50мл",,,3300,1650,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38195700,"AG05 Multipeptide anti aging cream, мультипептидный омолаживающий крем, 50мл","AG05 Multipeptide anti aging cream, мультипептидный омолаживающий крем, 50мл",,,3350,1675,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38195775,"Whitening cream, осветляющий крем, 50мл","Whitening cream, осветляющий крем, 50мл",,,3700,1850,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38195928,"CT02 Cream-comfort Omega 3*6*9, крем комфорт с комплексом омега 3*6*9, 50мл","CT02 Cream-comfort Omega 3*6*9, крем комфорт с комплексом омега 3*6*9, 50мл",,,2350,1175,шт.,шт.,1,0,0,3,0,
1525984,Angiopharm,38196030,"Antioxidant vitamin cream, антиоксидантный крем с витаминами А,Е,С, 50 мл","Antioxidant vitamin cream, антиоксидантный крем с витаминами А,Е,С, 50 мл",,,3850,0,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38196276,"Azelaine cream, крем с азелаиновой кислотой 20%, 50 мл","Azelaine cream, крем с азелаиновой кислотой 20%, 50 мл",,,3900,1850,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38196309,"SE04 Azelaine soft cream, крем с азелаиновой кислотой для чувствительной кожи, 50 мл","SE04 Azelaine soft cream, крем с азелаиновой кислотой для чувствительной кожи, 50 мл",,,3900,0,шт.,шт.,1,0,0,3,0,
1525984,Angiopharm,38196384,"MS04 Light moisturizing fluid, легкий увлажняющий флюид, 50мл","MS04 Light moisturizing fluid, легкий увлажняющий флюид, 50мл",,,2800,0,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38197278,"MS06 Moisturizing cream, Увлажняющий крем для лица 50мл","MS06 Moisturizing cream, Увлажняющий крем для лица 50мл",,,3060,1530,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38199609,"Cleansing mask, очищающая маска для проблемной кожи, 75мл","Cleansing mask, очищающая маска для проблемной кожи, 75мл",,,1450,0,шт.,шт.,1,0,0,5,0,
1525984,Angiopharm,38199690,"Correcting cream-mask, корректирующая крем-маска, 75мл","Correcting cream-mask, корректирующая крем-маска, 75мл",,,3100,1550,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38199735,"Moisturizing body milk, увлажняющее молочко для тела, 100мл","Moisturizing body milk, увлажняющее молочко для тела, 100мл",,,1200,0,шт.,шт.,1,0,0,1,0,
1525984,Angiopharm,38199846,"SPF01 Sunscreen fluid SPF30 солнцезащитный флюид, 100мл","SPF01 Sunscreen fluid SPF30 солнцезащитный флюид, 100мл",,,3600,1800,шт.,шт.,1,0,0,4,0,
1525984,Angiopharm,38199990,"CL23 Silk amino acids cleansing gel, гель для умывания с аминокислотами шелка, 200мл","CL23 Silk amino acids cleansing gel, гель для умывания с аминокислотами шелка, 200мл",,,2000,1000,шт.,шт.,1,0,0,9,0,
1525984,Angiopharm,38200074,"Exfoliating enzyme gel,энзимный гель-эксфолиант, 75мл","Exfoliating enzyme gel,энзимный гель-эксфолиант, 75мл",,,1590,0,шт.,шт.,1,0,0,0,0,
1525984,Angiopharm,38200266,"Multipeptide anti aging serum, мультипептидная омолаживающая сыворотка, 30мл","Multipeptide anti aging serum, мультипептидная омолаживающая сыворотка, 30мл",,,3990,0,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38200335,"AO04 Vitamin C serum, сыворотка с витамином С 10%, 30 мл","AO04 Vitamin C serum, сыворотка с витамином С 10%, 30 мл",,,5780,2890,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38200791,"AA04 Niacinamide serum, сыворотка с ниацинамидами, 30мл","AA04 Niacinamide serum, сыворотка с ниацинамидами, 30мл",,,2920,1460,шт.,шт.,1,0,0,3,0,
1525984,Angiopharm,38201082,"AG12 Eye multipeptide anti aging cream,мультипептидный омолаживающий крем для кожи вокруг глаз, 30мл","AG12 Eye multipeptide anti aging cream,мультипептидный омолаживающий крем для кожи вокруг глаз, 30мл",,,3650,1825,шт.,шт.,1,0,0,2,0,
1525984,Angiopharm,38201331,"Balancing tonic,балансирующий тоник с аминокислотами, 200мл","Balancing tonic,балансирующий тоник с аминокислотами, 200мл",,,1530,0,шт.,шт.,1,0,0,3,0,
